pid,unitprice,date,,,
3,23,7/29/2023,,,
16,29,8/13/2023,,,
53,60,7/25/2023,,,
10,17,8/2/2023,,,
1,23,8/8/2023,,,
3,21,8/7/2023,,,
40,26,7/24/2023,,,
2,58,8/17/2023,,,
11,54,8/6/2023,,,
36,43,8/16/2023,,,
9,49,8/7/2023,,,
37,39,7/29/2023,,,
40,51,8/1/2023,,,
42,48,7/18/2023,,,
15,43,7/27/2023,,,
3,56,8/22/2023,,,
49,45,7/17/2023,,,
17,52,7/17/2023,,,
11,57,7/29/2023,,,
51,28,8/21/2023,,,
55,48,8/12/2023,,,
48,26,7/13/2023,,,
46,52,7/23/2023,,,
39,27,8/21/2023,,,
8,57,7/29/2023,,,
20,56,7/27/2023,,,
51,41,8/12/2023,,,
23,27,7/11/2023,,,
39,63,8/14/2023,,,
45,59,8/5/2023,,,
43,65,7/18/2023,,,
27,45,8/10/2023,,,
16,64,8/12/2023,,,
1,63,7/17/2023,,,
1,21,8/1/2023,,,
37,56,8/15/2023,,,
43,53,7/30/2023,,,
28,30,8/22/2023,,,
16,28,7/16/2023,,,
49,54,7/25/2023,,,
